Tree;Abundance;Zones;Forests
1;1;1;Restinga1
2;1;1;Restinga1
3;1;1;Restinga1
4;0;1;Restinga1
5;2;1;Restinga1
6;0;1;Restinga1
7;6;1;Restinga1
8;6;1;Restinga1
9;0;1;Restinga1
10;0;1;Restinga1
11;0;1;Restinga1
12;0;1;Restinga1
13;0;1;Restinga1
14;0;1;Restinga1
15;0;1;Restinga1
16;0;1;Restinga1
17;6;1;Restinga1
18;1;1;Restinga1
19;0;1;Restinga1
20;4;1;Restinga1
21;0;1;Restinga1
22;0;1;Restinga1
23;0;1;Restinga1
24;0;1;Restinga1
25;1;1;Restinga1
26;0;1;Restinga1
27;2;1;Restinga1
28;0;1;Restinga1
29;2;1;Restinga1
30;0;1;Restinga1
31;0;1;Restinga1
32;1;1;Restinga1
33;3;1;Restinga1
34;1;1;Restinga1
35;4;1;Restinga1
36;0;1;Restinga1
37;0;1;Restinga1
38;0;1;Restinga1
39;0;1;Restinga1
40;0;1;Restinga1
41;4;1;Restinga1
42;2;1;Restinga1
43;1;1;Restinga1
44;1;1;Restinga1
45;0;1;Restinga1
46;1;1;Restinga1
47;3;1;Restinga1
48;1;1;Restinga1
49;1;1;Restinga1
50;0;1;Restinga1
51;2;1;Restinga1
52;7;1;Restinga1
53;4;1;Restinga1
54;1;1;Restinga1
55;3;1;Restinga1
56;1;1;Restinga1
57;3;1;Restinga1
58;2;1;Restinga1
59;4;1;Restinga1
60;1;1;Restinga1
61;3;1;Restinga1
62;1;1;Restinga1
63;0;1;Restinga1
64;1;1;Restinga1
65;11;1;Restinga1
66;9;1;Restinga1
67;2;1;Restinga1
68;0;1;Restinga1
69;2;1;Restinga1
70;2;1;Restinga1
71;0;1;Restinga1
1;1;2;Restinga1
2;1;2;Restinga1
3;0;2;Restinga1
4;1;2;Restinga1
5;4;2;Restinga1
6;1;2;Restinga1
7;1;2;Restinga1
8;1;2;Restinga1
9;1;2;Restinga1
10;1;2;Restinga1
11;7;2;Restinga1
12;1;2;Restinga1
13;1;2;Restinga1
14;2;2;Restinga1
15;1;2;Restinga1
16;1;2;Restinga1
17;9;2;Restinga1
18;1;2;Restinga1
19;1;2;Restinga1
20;2;2;Restinga1
21;1;2;Restinga1
22;0;2;Restinga1
23;0;2;Restinga1
24;0;2;Restinga1
25;5;2;Restinga1
26;1;2;Restinga1
27;1;2;Restinga1
28;2;2;Restinga1
29;1;2;Restinga1
30;0;2;Restinga1
31;1;2;Restinga1
32;1;2;Restinga1
33;8;2;Restinga1
34;1;2;Restinga1
35;4;2;Restinga1
36;1;2;Restinga1
37;1;2;Restinga1
38;0;2;Restinga1
39;0;2;Restinga1
40;0;2;Restinga1
41;5;2;Restinga1
42;3;2;Restinga1
43;1;2;Restinga1
44;1;2;Restinga1
45;0;2;Restinga1
46;1;2;Restinga1
47;4;2;Restinga1
48;2;2;Restinga1
49;1;2;Restinga1
50;0;2;Restinga1
51;2;2;Restinga1
52;8;2;Restinga1
53;0;2;Restinga1
54;2;2;Restinga1
55;10;2;Restinga1
56;1;2;Restinga1
57;2;2;Restinga1
58;3;2;Restinga1
59;6;2;Restinga1
60;6;2;Restinga1
61;5;2;Restinga1
62;5;2;Restinga1
63;5;2;Restinga1
64;1;2;Restinga1
65;2;2;Restinga1
66;4;2;Restinga1
67;7;2;Restinga1
68;1;2;Restinga1
69;3;2;Restinga1
70;9;2;Restinga1
71;0;2;Restinga1
1;0;3;Restinga1
2;0;3;Restinga1
3;0;3;Restinga1
4;1;3;Restinga1
5;4;3;Restinga1
6;0;3;Restinga1
7;1;3;Restinga1
8;0;3;Restinga1
9;0;3;Restinga1
10;0;3;Restinga1
11;6;3;Restinga1
12;0;3;Restinga1
13;1;3;Restinga1
14;2;3;Restinga1
15;0;3;Restinga1
