Forofito;Riqueza;Abundancia;Zonas;Parcela
1_1;0;0;1;Restinga_1
1_2;0;0;1;Restinga_1
1_3;0;0;1;Restinga_1
1_5;0;0;1;Restinga_1
1_7;0;0;1;Restinga_1
1_8;0;0;1;Restinga_1
1_17;0;0;1;Restinga_1
1_18;0;0;1;Restinga_1
1_20;0;0;1;Restinga_1
1_23;0;0;1;Restinga_1
1_24;1;1;1;Restinga_1
1_25;0;0;1;Restinga_1
1_26;1;1;1;Restinga_1
1_27;0;0;1;Restinga_1
1_28;1;1;1;Restinga_1
1_32;0;0;1;Restinga_1
1_33;0;0;1;Restinga_1
1_34;0;0;1;Restinga_1
1_35;0;0;1;Restinga_1
1_41;0;0;1;Restinga_1
1_42;0;0;1;Restinga_1
1_43;0;0;1;Restinga_1
1_44;0;0;1;Restinga_1
1_46;0;0;1;Restinga_1
1_47;0;0;1;Restinga_1
1_48;0;0;1;Restinga_1
1_49;0;0;1;Restinga_1
1_51;0;0;1;Restinga_1
1_52;0;0;1;Restinga_1
1_53;0;0;1;Restinga_1
1_54;0;0;1;Restinga_1
1_55;1;1;1;Restinga_1
1_56;0;0;1;Restinga_1
1_57;1;1;1;Restinga_1
1_58;0;0;1;Restinga_1
1_59;0;0;1;Restinga_1
1_60;0;0;1;Restinga_1
1_61;0;0;1;Restinga_1
1_62;0;0;1;Restinga_1
1_64;0;0;1;Restinga_1
1_65;1;1;1;Restinga_1
1_66;0;0;1;Restinga_1
1_67;0;0;1;Restinga_1
1_69;1;1;1;Restinga_1
1_70;0;0;1;Restinga_1
1_71;0;0;1;Restinga_1
1_1;1;1;1;Restinga_2
1_3;2;2;1;Restinga_2
1_4;2;5;1;Restinga_2
1_5;1;2;1;Restinga_2
1_6;1;1;1;Restinga_2
1_7;0;0;1;Restinga_2
1_8;1;1;1;Restinga_2
1_9;1;3;1;Restinga_2
1_10;1;1;1;Restinga_2
1_13;1;2;1;Restinga_2
1_14;1;2;1;Restinga_2
1_15;0;0;1;Restinga_2
1_16;1;2;1;Restinga_2
1_17;1;1;1;Restinga_2
1_19;2;2;1;Restinga_2
1_21;0;0;1;Restinga_2
1_23;0;0;1;Restinga_2
1_25;1;1;1;Restinga_2
1_26;2;3;1;Restinga_2
1_27;1;1;1;Restinga_2
1_28;1;1;1;Restinga_2
1_29;1;1;1;Restinga_2
1_30;1;1;1;Restinga_2
1_31;0;0;1;Restinga_2
1_32;2;4;1;Restinga_2
1_34;0;0;1;Restinga_2
1_36;0;0;1;Restinga_2
1_37;1;1;1;Restinga_2
1_38;1;1;1;Restinga_2
1_40;2;2;1;Restinga_2
1_41;2;2;1;Restinga_2
1_42;2;2;1;Restinga_2
1_44;1;1;1;Restinga_2
1_45;2;2;1;Restinga_2
1_46;2;2;1;Restinga_2
1_47;1;1;1;Restinga_2
1_48;1;1;1;Restinga_2
1_49;1;1;1;Restinga_2
1_50;1;1;1;Restinga_2
1_51;2;2;1;Restinga_2
1_52;2;2;1;Restinga_2
1_53;2;2;1;Restinga_2
1_54;1;1;1;Restinga_2
1_55;1;1;1;Restinga_2
1_56;2;2;1;Restinga_2
1_57;1;1;1;Restinga_2
1_58;2;2;1;Restinga_2
1_60;1;1;1;Restinga_2
1_1;0;0;1;FlorestaTerrasBaixas
1_2;0;0;1;FlorestaTerrasBaixas
1_3;0;0;1;FlorestaTerrasBaixas
1_4;0;0;1;FlorestaTerrasBaixas
1_5;0;0;1;FlorestaTerrasBaixas
1_7;0;0;1;FlorestaTerrasBaixas
1_8;0;0;1;FlorestaTerrasBaixas
1_9;0;0;1;FlorestaTerrasBaixas
1_11;0;0;1;FlorestaTerrasBaixas
1_16;0;0;1;FlorestaTerrasBaixas
1_23;0;0;1;FlorestaTerrasBaixas
1_26;0;0;1;FlorestaTerrasBaixas
1_37;0;0;1;FlorestaTerrasBaixas
1_39;0;0;1;FlorestaTerrasBaixas
1_1;1;1;1;FlorestaSubmontana1
1_2;1;1;1;FlorestaSubmontana1
1_3;0;0;1;FlorestaSubmontana1
1_5;1;1;1;FlorestaSubmontana1
1_6;0;0;1;FlorestaSubmontana1
1_9;0;0;1;FlorestaSubmontana1
1_10;0;0;1;FlorestaSubmontana1
1_14;0;0;1;FlorestaSubmontana1
1_16;0;0;1;FlorestaSubmontana1
1_19;0;0;1;FlorestaSubmontana1
1_21;0;0;1;FlorestaSubmontana1
1_22;1;1;1;FlorestaSubmontana1
1_24;1;1;1;FlorestaSubmontana1
1_25;1;1;1;FlorestaSubmontana1
1_29;1;1;1;FlorestaSubmontana1
1_31;1;1;1;FlorestaSubmontana1
1_32;1;1;1;FlorestaSubmontana1
1_33;0;0;1;FlorestaSubmontana1
1_34;0;0;1;FlorestaSubmontana1
1_36;1;1;1;FlorestaSubmontana1
1_37;2;2;1;FlorestaSubmontana1
1_38;3;3;1;FlorestaSubmontana1
1_39;1;1;1;FlorestaSubmontana1
1_44;1;1;1;FlorestaSubmontana1
3_1;1;1;1;FlorestaSubmontana2
4_1;2;3;1;FlorestaSubmontana2
5_1;1;1;1;FlorestaSubmontana2
6_1;2;4;1;FlorestaSubmontana2
7_1;1;1;1;FlorestaSubmontana2
8_1;2;3;1;FlorestaSubmontana2
9_1;1;2;1;FlorestaSubmontana2
15_1;2;2;1;FlorestaSubmontana2
17_1;1;1;1;FlorestaSubmontana2
20_1;1;1;1;FlorestaSubmontana2
22_1;1;1;1;FlorestaSubmontana2
24_1;1;1;1;FlorestaSubmontana2
28_1;1;1;1;FlorestaSubmontana2
31_1;2;2;1;FlorestaSubmontana2
32_1;1;1;1;FlorestaSubmontana2
33_1;0;0;1;FlorestaSubmontana2
34_1;1;1;1;FlorestaSubmontana2
35_1;1;1;1;FlorestaSubmontana2
37_1;2;2;1;FlorestaSubmontana2
38_1;1;1;1;FlorestaSubmontana2
39_1;1;1;1;FlorestaSubmontana2
42_1;1;1;1;FlorestaSubmontana2
43_1;1;1;1;FlorestaSubmontana2
45_1;1;1;1;FlorestaSubmontana2
46_1;1;3;1;FlorestaSubmontana2
47_1;2;2;1;FlorestaSubmontana2
48_1;2;3;1;FlorestaSubmontana2
49_1;1;1;1;FlorestaSubmontana2
54_1;1;1;1;FlorestaSubmontana2
2_1;0;0;2;Restinga_1
2_2;0;0;2;Restinga_1
2_4;0;0;2;Restinga_1
2_5;0;0;2;Restinga_1
2_6;0;0;2;Restinga_1
2_7;0;0;2;Restinga_1
2_8;0;0;2;Restinga_1
2_9;0;0;2;Restinga_1
2_10;0;0;2;Restinga_1
2_11;1;1;2;Restinga_1
2_12;0;0;2;Restinga_1
2_13;0;0;2;Restinga_1
2_14;0;0;2;Restinga_1
2_15;0;0;2;Restinga_1
2_16;0;0;2;Restinga_1
2_17;1;1;2;Restinga_1
2_18;0;0;2;Restinga_1
2_19;0;0;2;Restinga_1
2_20;1;1;2;Restinga_1
2_21;0;0;2;Restinga_1
2_25;0;0;2;Restinga_1
2_26;1;1;2;Restinga_1
2_27;0;0;2;Restinga_1
2_28;0;0;2;Restinga_1
2_29;0;0;2;Restinga_1
2_31;0;0;2;Restinga_1
2_32;0;0;2;Restinga_1
2_33;0;0;2;Restinga_1
2_34;0;0;2;Restinga_1
2_35;0;0;2;Restinga_1
2_36;0;0;2;Restinga_1
2_37;0;0;2;Restinga_1
2_41;0;0;2;Restinga_1
2_42;0;0;2;Restinga_1
2_43;0;0;2;Restinga_1
2_44;0;0;2;Restinga_1
2_46;0;0;2;Restinga_1
2_47;1;1;2;Restinga_1
2_48;0;0;2;Restinga_1
2_49;0;0;2;Restinga_1
2_51;0;0;2;Restinga_1
2_52;1;1;2;Restinga_1
2_54;0;0;2;Restinga_1
2_55;2;2;2;Restinga_1
2_56;0;0;2;Restinga_1
2_57;0;0;2;Restinga_1
2_58;0;0;2;Restinga_1
2_59;0;0;2;Restinga_1
2_60;0;0;2;Restinga_1
2_61;0;0;2;Restinga_1
2_62;0;0;2;Restinga_1
2_63;0;0;2;Restinga_1
2_64;0;0;2;Restinga_1
2_65;1;1;2;Restinga_1
2_66;1;1;2;Restinga_1
2_67;1;1;2;Restinga_1
2_68;0;0;2;Restinga_1
2_69;1;1;2;Restinga_1
2_70;0;0;2;Restinga_1
2_71;0;0;2;Restinga_1
2_1;1;1;2;Restinga_2
2_2;1;2;2;Restinga_2
