Nemathanthus_sp1;Codonanthe_devosiana;Acianthera_sp2;Acianthera_sp3;Scaphyglottis_modesta;Epidendrum_filicaule;Orchidaceae_sp1;Orchidaceae_sp2;Orchidaceae_sp3;Orchidaceae_sp4;Begonia_herbacea;Begonia_integerrima;Samambaia_sp1;Lomariopsis_marginata;Microgramma_vacciniifolia;Microgramma_cf_squamulosa;Pleopeltis_astrolepsis;Pleopeltis_pleopeltifolia;Pleopeltis_hirsutissima;Campiloneuron_nitidum;Campyloneurum_rigidum;Campiloneuron_sp2;Polybotrya_semipinnata;Vandenboschia_radicans_(Sw.)_Copel.;Thaumatophyllum_bipinnatifidum;Monstera_adansonii;Philodendron_sp1;Philodendron_oblongum;Philodendron_hastatum;Philodendron_martianum;Philodendron_crassinervium;Anthurium_pentaphyllum;Anthurium_minarum;Anthurium_urvileanum;Anthurium_sp1;Tillandsia_dura;Tillandsia_geminiflora;Tillandsia_tenuifolia;Tillandsia_sp2;Tillandsia_sp3;Neoregelia_johannis;Aechmea_gracilis;Aechmea_nudicaulis;Aechmea_sp1;Aechmea_sp2;Billbergia_zebrina;Vriesea_unilateralis;Vriesea_gigantea;Vriesea_scalaris;Vriesea_lubbersii;Vriesea_sp2;Rhipalis_teres;Rhipsalis_elliptica;Rhipalis_clavata;Rhipsalis_pachypthera;Rhipsalis_crispata;Rhipsalis_sp2;Rhipsalis_sp3;Peperomia_rotundifolia;Peperomia_urocarpa;Peperomia_sp1;Peperomia_sp2;Peperomia_sp4;Peperomia_sp5
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;1;1;0;3;3;0;1;0;0;0;0;0;2;0;1;0;0;0;10;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;2;0;1;15;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;1;2;0;0;3;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;8;6;0;25;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0
0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;6;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;2;7;0;0;0;13;0;0;0;0;1;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;11;0;1;1;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;2;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1;0;0;0;0
0;0;1;0;0;0;10;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;3;0;0;15;0;0;0;0;2;8;0;0;0;0;1;5;0;0;7;0;1;0;0;5;0;0;0;1;10
0;0;0;0;0;2;0;15;0;0;0;0;1;0;0;1;0;0;6;0;0;0;0;0;0;1;0;7;0;1;0;1;0;0;0;8;3;0;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;7;1;1;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;10;0;0;0;0;0
