Anthurium_urvileanum;Monstera_adansonii;Philodendron_crassinervium;Philodendron_eximium;Philodendron_hastatum;Aechmea_gracilis;Billbergia_zebrina;Tiilandsia_cf_dura;Tillandsia_geminiflora;Vriesea_lubbersii;Didymoglossum_sp;Lankesterella_cf_ceracifolia;Lankesterella_sp1;Encyclia_patens;Peperomia_urocarpa;Campyloneurum_sp_rigidum_;Campyloneuron_cf_atlanticum;Campyloneuron_cf_nitidum;Microgramma_tecta;Microgramma_crispata;Microgramma_sp2;Pecluma_sicca;Pecluma_sp1;Pleopeltis_astrolepsis;Pleopeltis_hirsutissima;Pleopeltis_pleopeltifolia;Sellaginella_muscosa;Ctenitis_sp1
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;5;0;0;2;1;0;0
0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;2;0;2;0;0
0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0
6;2;0;0;0;8;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1
3;0;0;2;0;27;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;1;1;0;0
0;1;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0
1;0;1;0;0;12;0;0;0;0;0;0;0;0;2;5;0;0;0;0;0;1;1;0;0;0;0;0
0;0;0;1;0;14;0;0;0;0;1;0;4;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
0;4;0;2;1;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;2;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
