Aechmea_gracilis;Anthurium_intermedium;Billbergia_amoena;Codonanthe_devosiana;Microgramma_crispata;Microgramma_geminata;Microgramma_vacciniifolia;Monstera_adansonii;Neoregelia_johannis;Philodendron_cordatum;Philodendron_crassinervium;Pleopeltis_pleopeltifolia;Rhipsalis_pachyptera;Serpocaulon_triseriale;Vanilla_chamissonis;Vriesea_procera
0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;8;8;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
0;0;6;0;0;0;0;0;0;0;0;1;0;0;0;0
0;0;6;0;4;0;0;0;0;0;0;0;0;0;0;0
0;1;0;6;12;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;5;1;0;0;0;1;0;0;0;0;1;0
0;0;24;16;21;1;0;0;0;7;0;1;0;1;1;0
0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
0;0;17;1;2;0;5;0;0;0;0;0;0;0;2;0
0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;1;14;0;0;0;0;0;0;0;0;0;0;0
0;0;7;2;6;0;0;0;0;1;0;0;0;0;0;0
1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0;0;18;2;1;0;0;0;0;2;0;0;0;1;0;1
0;1;0;10;6;0;0;0;1;1;1;2;0;1;0;1
15;0;0;6;10;3;0;0;0;0;2;0;1;0;0;1
6;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
5;0;1;4;5;0;0;0;0;0;0;1;1;0;0;0
0;0;27;7;0;0;0;0;0;3;2;0;0;0;0;0
0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
0;0;8;12;4;0;0;0;1;2;0;0;0;1;4;0
0;1;0;0;0;0;0;2;2;40;1;0;0;0;0;0
0;0;8;0;4;0;0;5;0;15;0;0;0;0;0;0
0;0;0;0;0;0;2;2;0;27;0;0;0;0;0;0
