Acianthera_sp1;Aechmea_nudicaulis;Anthurium_urvileanum;Billbergia_amoena;Codonanthe_devosiana;Hylocereus_setaceus;Microgramma_crispata;Microgramma_vacciniifolia;Monstera_adansonii;Neoregelia_johannis;Cattleya_sp1;Peperomia_elongata;Philodendron_cordatum;Philodendron_crassinervium;Rhipsalis_pachyptera;Vanilla_chamissonis
0;0;1;0;0;0;0;2;4;0;0;0;16;2;2;0
0;0;0;5;0;0;0;4;2;2;0;11;1;8;0;0
0;0;0;0;0;0;0;0;7;8;0;2;11;4;0;0
0;0;0;0;0;0;0;12;6;3;0;0;2;4;0;0
0;0;0;19;0;1;0;0;5;0;0;1;29;2;0;0
0;0;0;0;0;0;0;3;0;0;0;1;26;6;0;0
0;0;0;27;0;0;5;3;3;7;0;3;13;11;3;5
0;0;0;2;0;0;0;5;3;1;0;0;8;1;0;0
0;0;0;3;0;0;0;0;0;0;0;0;5;2;0;0
6;0;0;0;9;3;0;3;5;4;0;0;1;6;0;0
0;0;0;11;0;0;0;4;4;0;0;0;10;8;0;0
1;0;0;1;0;0;0;9;4;0;1;0;15;8;0;0
0;1;0;8;0;0;0;7;4;3;0;0;6;2;0;0
