Tree;Richness;Zones;Forests
1;1;1;Restinga1
2;1;1;Restinga1
3;1;1;Restinga1
4;0;1;Restinga1
5;1;1;Restinga1
6;0;1;Restinga1
7;1;1;Restinga1
8;1;1;Restinga1
9;0;1;Restinga1
10;0;1;Restinga1
11;0;1;Restinga1
12;0;1;Restinga1
13;0;1;Restinga1
14;0;1;Restinga1
15;0;1;Restinga1
16;0;1;Restinga1
17;2;1;Restinga1
18;1;1;Restinga1
19;0;1;Restinga1
20;1;1;Restinga1
21;0;1;Restinga1
22;0;1;Restinga1
23;1;1;Restinga1
24;1;1;Restinga1
25;1;1;Restinga1
26;2;1;Restinga1
27;1;1;Restinga1
28;2;1;Restinga1
29;0;1;Restinga1
30;0;1;Restinga1
31;0;1;Restinga1
32;1;1;Restinga1
33;1;1;Restinga1
34;2;1;Restinga1
35;2;1;Restinga1
36;0;1;Restinga1
37;0;1;Restinga1
38;0;1;Restinga1
39;0;1;Restinga1
40;0;1;Restinga1
41;1;1;Restinga1
42;1;1;Restinga1
43;1;1;Restinga1
44;1;1;Restinga1
45;0;1;Restinga1
46;1;1;Restinga1
47;1;1;Restinga1
48;1;1;Restinga1
49;1;1;Restinga1
50;0;1;Restinga1
51;2;1;Restinga1
52;1;1;Restinga1
53;1;1;Restinga1
54;1;1;Restinga1
55;3;1;Restinga1
56;1;1;Restinga1
57;3;1;Restinga1
58;2;1;Restinga1
59;2;1;Restinga1
60;1;1;Restinga1
61;2;1;Restinga1
62;1;1;Restinga1
63;0;1;Restinga1
64;1;1;Restinga1
65;2;1;Restinga1
66;2;1;Restinga1
67;1;1;Restinga1
68;0;1;Restinga1
69;3;1;Restinga1
70;1;1;Restinga1
71;1;1;Restinga1
72;1;2;Restinga1
73;1;2;Restinga1
74;0;2;Restinga1
75;1;2;Restinga1
76;2;2;Restinga1
77;1;2;Restinga1
78;1;2;Restinga1
79;1;2;Restinga1
80;1;2;Restinga1
81;1;2;Restinga1
82;3;2;Restinga1
83;1;2;Restinga1
84;1;2;Restinga1
85;1;2;Restinga1
86;2;2;Restinga1
87;1;2;Restinga1
88;3;2;Restinga1
89;1;2;Restinga1
90;1;2;Restinga1
91;2;2;Restinga1
92;1;2;Restinga1
93;0;2;Restinga1
94;0;2;Restinga1
95;0;2;Restinga1
96;2;2;Restinga1
97;2;2;Restinga1
98;1;2;Restinga1
99;2;2;Restinga1
100;1;2;Restinga1
101;0;2;Restinga1
102;1;2;Restinga1
103;1;2;Restinga1
104;1;2;Restinga1
105;2;2;Restinga1
106;2;2;Restinga1
107;1;2;Restinga1
108;1;2;Restinga1
109;0;2;Restinga1
110;0;2;Restinga1
111;0;2;Restinga1
112;1;2;Restinga1
113;2;2;Restinga1
114;1;2;Restinga1
115;1;2;Restinga1
116;0;2;Restinga1
117;1;2;Restinga1
118;2;2;Restinga1
119;2;2;Restinga1
120;1;2;Restinga1
121;0;2;Restinga1
122;2;2;Restinga1
123;3;2;Restinga1
124;0;2;Restinga1
125;2;2;Restinga1
126;7;2;Restinga1
127;1;2;Restinga1
128;2;2;Restinga1
129;3;2;Restinga1
130;2;2;Restinga1
131;1;2;Restinga1
132;2;2;Restinga1
133;2;2;Restinga1
134;4;2;Restinga1
135;2;2;Restinga1
136;2;2;Restinga1
137;2;2;Restinga1
138;2;2;Restinga1
139;1;2;Restinga1
140;4;2;Restinga1
141;3;2;Restinga1
142;1;2;Restinga1
143;0;3;Restinga1
144;0;3;Restinga1
145;0;3;Restinga1
146;1;3;Restinga1
147;2;3;Restinga1
148;0;3;Restinga1
149;1;3;Restinga1
150;0;3;Restinga1
151;0;3;Restinga1
152;0;3;Restinga1
153;2;3;Restinga1
154;0;3;Restinga1
155;1;3;Restinga1
156;2;3;Restinga1
157;0;3;Restinga1
